employee_id,year,Jan_present_days,Jan_absent_days,Jan_total_working_days,Jan_projects_completed,Jan_project_performance,Feb_present_days,Feb_absent_days,Feb_total_working_days,Feb_projects_completed,Feb_project_performance,Mar_present_days,Mar_absent_days,Mar_total_working_days,Mar_projects_completed,Mar_project_performance,Apr_present_days,Apr_absent_days,Apr_total_working_days,Apr_projects_completed,Apr_project_performance,May_present_days,May_absent_days,May_total_working_days,May_projects_completed,May_project_performance,Jun_present_days,Jun_absent_days,Jun_total_working_days,Jun_projects_completed,Jun_project_performance,Jul_present_days,Jul_absent_days,Jul_total_working_days,Jul_projects_completed,Jul_project_performance,Aug_present_days,Aug_absent_days,Aug_total_working_days,Aug_projects_completed,Aug_project_performance,Sep_present_days,Sep_absent_days,Sep_total_working_days,Sep_projects_completed,Sep_project_performance,Oct_present_days,Oct_absent_days,Oct_total_working_days,Oct_projects_completed,Oct_project_performance,Nov_present_days,Nov_absent_days,Nov_total_working_days,Nov_projects_completed,Nov_project_performance,Dec_present_days,Dec_absent_days,Dec_total_working_days,Dec_projects_completed,Dec_project_performance
EMP00001,2021,20,2,22,2,99,21,1,22,3,88,19,2,21,4,67,22,0,22,4,70,21,2,23,1,87,19,3,22,3,95,21,0,21,1,97,20,2,22,5,93,23,0,23,2,60,19,3,22,3,90,23,0,23,3,86,21,2,23,3,87
EMP00002,2021,21,0,21,3,64,21,1,22,5,99,19,3,22,3,80,17,3,20,2,61,19,3,22,3,92,22,1,23,4,68,21,0,21,3,99,19,2,21,3,90,19,2,21,2,73,21,1,22,4,76,22,1,23,2,61,20,0,20,5,68
EMP00003,2021,21,0,21,1,71,20,2,22,5,65,21,0,21,3,72,20,2,22,5,69,20,3,23,4,62,18,3,21,3,92,18,2,20,4,78,21,0,21,5,71,22,1,23,1,71,18,3,21,3,91,19,3,22,4,88,19,3,22,3,78
EMP00004,2021,20,3,23,3,64,20,2,22,5,99,23,0,23,2,72,22,1,23,3,83,18,2,20,3,85,21,0,21,3,83,17,3,20,1,70,17,3,20,2,95,21,0,21,4,96,19,3,22,4,86,23,0,23,2,70,23,0,23,4,73
EMP00005,2021,23,0,23,5,81,20,1,21,1,71,18,2,20,3,66,19,2,21,2,68,23,0,23,4,91,20,3,23,1,83,18,3,21,1,96,19,2,21,4,79,17,3,20,4,83,20,1,21,4,87,20,3,23,4,93,18,3,21,5,81
EMP00006,2021,17,3,20,1,73,19,2,21,3,89,21,2,23,5,91,20,2,22,5,97,17,3,20,5,100,17,3,20,4,94,19,3,22,1,82,22,1,23,3,84,21,2,23,1,92,21,0,21,1,88,20,0,20,2,87,21,0,21,4,86
EMP00007,2021,17,3,20,3,84,19,1,20,2,71,21,0,21,2,100,21,2,23,2,99,20,2,22,2,86,22,1,23,2,74,21,2,23,2,95,20,2,22,5,85,21,1,22,5,67,20,0,20,4,74,21,2,23,4,88,21,0,21,3,100
EMP00008,2021,21,0,21,2,76,22,1,23,4,93,23,0,23,1,66,20,0,20,5,61,23,0,23,1,73,20,3,23,1,89,22,0,22,4,94,18,3,21,2,75,20,3,23,3,85,20,1,21,3,71,20,1,21,4,99,20,3,23,1,64
EMP00009,2021,21,0,21,3,89,21,2,23,5,87,20,2,22,3,94,18,2,20,4,66,18,3,21,2,63,18,2,20,1,70,19,1,20,4,89,23,0,23,4,76,22,0,22,2,71,21,2,23,2,63,23,0,23,2,92,19,2,21,3,83
EMP00010,2021,22,1,23,1,99,20,1,21,4,92,20,2,22,3,63,18,2,20,5,89,19,1,20,2,78,23,0,23,2,63,19,2,21,1,75,19,3,22,2,99,20,1,21,1,76,20,2,22,5,97,21,1,22,4,74,19,1,20,1,75
EMP00011,2021,20,1,21,3,61,20,0,20,3,77,20,0,20,3,75,21,2,23,4,83,19,3,22,2,96,18,3,21,2,83,21,0,21,2,96,18,2,20,4,75,17,3,20,3,86,23,0,23,4,70,19,3,22,2,64,20,0,20,2,89
EMP00012,2021,18,2,20,5,73,20,2,22,3,97,20,1,21,1,96,22,0,22,3,80,21,2,23,5,70,20,1,21,2,81,22,0,22,5,86,21,2,23,2,96,21,2,23,3,68,19,2,21,4,77,20,2,22,5,70,20,0,20,1,96
EMP00013,2021,21,2,23,3,82,23,0,23,2,90,21,2,23,4,64,19,2,21,5,77,20,3,23,1,88,22,0,22,3,99,19,2,21,5,80,21,1,22,4,87,17,3,20,2,85,20,3,23,4,61,19,2,21,5,90,19,1,20,1,76
EMP00014,2021,21,0,21,4,76,20,3,23,4,79,20,3,23,1,83,21,1,22,3,74,18,2,20,1,61,23,0,23,2,88,23,0,23,3,96,22,1,23,3,92,21,2,23,5,61,20,1,21,1,79,23,0,23,3,89,21,1,22,3,74
EMP00015,2021,19,1,20,2,73,18,3,21,3,79,20,0,20,5,79,20,3,23,1,75,18,3,21,4,86,20,2,22,5,60,22,0,22,4,62,18,2,20,2,95,18,3,21,5,86,20,2,22,3,76,22,0,22,5,94,17,3,20,5,96
EMP00016,2021,19,2,21,1,91,22,0,22,5,97,19,2,21,2,70,18,3,21,5,61,18,3,21,5,90,22,0,22,1,90,18,2,20,2,82,20,2,22,1,77,19,1,20,4,88,19,1,20,1,80,21,2,23,3,62,21,1,22,4,91
