employee_id,year,Jan_present_days,Jan_absent_days,Jan_total_working_days,Jan_projects_completed,Jan_project_performance,Feb_present_days,Feb_absent_days,Feb_total_working_days,Feb_projects_completed,Feb_project_performance,Mar_present_days,Mar_absent_days,Mar_total_working_days,Mar_projects_completed,Mar_project_performance,Apr_present_days,Apr_absent_days,Apr_total_working_days,Apr_projects_completed,Apr_project_performance,May_present_days,May_absent_days,May_total_working_days,May_projects_completed,May_project_performance,Jun_present_days,Jun_absent_days,Jun_total_working_days,Jun_projects_completed,Jun_project_performance,Jul_present_days,Jul_absent_days,Jul_total_working_days,Jul_projects_completed,Jul_project_performance,Aug_present_days,Aug_absent_days,Aug_total_working_days,Aug_projects_completed,Aug_project_performance,Sep_present_days,Sep_absent_days,Sep_total_working_days,Sep_projects_completed,Sep_project_performance,Oct_present_days,Oct_absent_days,Oct_total_working_days,Oct_projects_completed,Oct_project_performance,Nov_present_days,Nov_absent_days,Nov_total_working_days,Nov_projects_completed,Nov_project_performance,Dec_present_days,Dec_absent_days,Dec_total_working_days,Dec_projects_completed,Dec_project_performance
EMP00001,2023,22,0,22,3,98,21,0,21,4,64,19,1,20,5,61,20,2,22,2,97,21,0,21,2,81,21,0,21,2,78,23,0,23,5,90,20,3,23,3,90,18,2,20,5,91,21,2,23,2,63,19,2,21,2,96,19,2,21,2,82
EMP00002,2023,20,3,23,3,68,22,1,23,2,73,20,3,23,1,60,17,3,20,5,99,20,3,23,4,73,17,3,20,2,92,19,1,20,5,72,19,2,21,4,87,18,3,21,5,61,20,3,23,2,89,18,3,21,5,66,20,2,22,3,96
EMP00003,2023,17,3,20,5,87,20,2,22,2,100,18,3,21,2,81,17,3,20,4,97,21,1,22,3,95,20,2,22,1,87,22,0,22,3,88,19,1,20,2,90,19,1,20,2,88,23,0,23,5,64,17,3,20,5,75,20,1,21,5,72
EMP00004,2023,19,1,20,3,66,18,3,21,1,97,17,3,20,4,75,20,2,22,2,81,19,2,21,2,84,21,2,23,1,77,18,2,20,5,75,20,3,23,3,88,19,2,21,3,73,22,1,23,4,97,19,3,22,1,89,20,3,23,5,91
EMP00005,2023,22,1,23,5,96,19,2,21,4,79,21,1,22,5,91,20,3,23,5,63,19,3,22,5,98,21,1,22,4,90,21,0,21,1,97,19,1,20,3,69,18,2,20,1,94,21,0,21,3,71,20,2,22,2,79,23,0,23,1,69
EMP00006,2023,18,2,20,3,65,19,1,20,3,91,19,2,21,1,94,19,2,21,1,61,18,2,20,4,81,20,0,20,5,71,19,1,20,3,92,22,0,22,4,90,18,3,21,5,100,20,0,20,5,98,20,1,21,5,97,18,2,20,4,69
EMP00007,2023,20,0,20,5,80,17,3,20,2,81,21,1,22,5,67,18,3,21,3,81,19,3,22,2,93,21,2,23,3,92,17,3,20,2,67,21,1,22,1,95,18,2,20,2,68,19,3,22,3,89,18,2,20,4,89,21,1,22,3,80
EMP00008,2023,20,3,23,3,84,20,2,22,3,74,21,0,21,4,76,23,0,23,4,68,20,0,20,3,88,19,1,20,4,82,17,3,20,4,60,21,2,23,2,80,22,0,22,1,92,18,2,20,1,70,20,2,22,2,81,23,0,23,1,88
EMP00009,2023,21,2,23,2,80,22,0,22,2,76,18,2,20,2,89,20,3,23,4,83,19,3,22,2,88,22,1,23,1,99,17,3,20,3,72,21,1,22,5,87,18,3,21,3,60,22,0,22,2,86,18,3,21,2,74,18,2,20,3,93
EMP00010,2023,19,3,22,5,82,21,1,22,3,87,21,1,22,3,99,21,2,23,2,95,20,1,21,3,87,22,0,22,1,74,22,1,23,1,85,20,1,21,3,68,18,2,20,4,75,19,2,21,1,73,20,3,23,1,79,19,3,22,4,67
EMP00011,2023,23,0,23,5,64,18,2,20,4,70,20,0,20,2,86,19,2,21,2,72,20,1,21,5,85,19,1,20,4,76,20,0,20,5,63,19,3,22,5,96,19,3,22,3,99,22,0,22,2,96,21,1,22,3,75,18,3,21,4,70
EMP00012,2023,20,1,21,4,80,23,0,23,3,73,22,0,22,1,89,19,3,22,2,77,20,3,23,4,97,23,0,23,5,92,17,3,20,2,97,23,0,23,5,99,18,3,21,4,98,22,0,22,4,93,18,3,21,2,81,23,0,23,4,79
EMP00013,2023,19,3,22,4,61,21,0,21,4,64,20,2,22,4,83,17,3,20,3,62,21,1,22,3,79,20,0,20,2,69,18,2,20,1,94,18,3,21,2,64,18,2,20,1,61,21,1,22,2,83,19,3,22,4,89,19,2,21,5,93
EMP00014,2023,20,2,22,2,83,22,1,23,1,93,22,1,23,1,99,22,1,23,5,84,19,3,22,3,64,21,0,21,5,94,23,0,23,4,87,21,0,21,2,84,20,3,23,3,96,21,0,21,4,65,20,3,23,3,64,20,0,20,4,76
EMP00015,2023,20,3,23,2,100,20,1,21,3,64,18,3,21,1,66,20,0,20,4,92,22,1,23,2,77,21,0,21,5,60,18,2,20,2,94,21,0,21,5,86,21,1,22,3,66,19,3,22,5,76,20,0,20,5,66,19,2,21,4,60
EMP00016,2023,22,1,23,3,83,19,2,21,4,98,19,2,21,2,91,19,1,20,5,80,18,3,21,2,79,19,1,20,3,67,20,1,21,1,68,19,2,21,4,69,20,2,22,3,60,19,1,20,1,63,19,2,21,3,66,23,0,23,2,84
EMP00017,2023,22,1,23,4,70,17,3,20,5,99,19,1,20,5,99,18,3,21,3,92,21,1,22,4,85,21,2,23,2,82,22,0,22,2,64,18,3,21,4,61,20,0,20,1,77,20,3,23,1,81,19,3,22,3,90,19,3,22,5,86
