employee_id,year,Jan_present_days,Jan_absent_days,Jan_total_working_days,Jan_projects_completed,Jan_project_performance,Feb_present_days,Feb_absent_days,Feb_total_working_days,Feb_projects_completed,Feb_project_performance,Mar_present_days,Mar_absent_days,Mar_total_working_days,Mar_projects_completed,Mar_project_performance,Apr_present_days,Apr_absent_days,Apr_total_working_days,Apr_projects_completed,Apr_project_performance,May_present_days,May_absent_days,May_total_working_days,May_projects_completed,May_project_performance,Jun_present_days,Jun_absent_days,Jun_total_working_days,Jun_projects_completed,Jun_project_performance,Jul_present_days,Jul_absent_days,Jul_total_working_days,Jul_projects_completed,Jul_project_performance,Aug_present_days,Aug_absent_days,Aug_total_working_days,Aug_projects_completed,Aug_project_performance,Sep_present_days,Sep_absent_days,Sep_total_working_days,Sep_projects_completed,Sep_project_performance,Oct_present_days,Oct_absent_days,Oct_total_working_days,Oct_projects_completed,Oct_project_performance,Nov_present_days,Nov_absent_days,Nov_total_working_days,Nov_projects_completed,Nov_project_performance,Dec_present_days,Dec_absent_days,Dec_total_working_days,Dec_projects_completed,Dec_project_performance
EMP00001,2019,18,2,20,7,75,20,4,24,2,74,23,1,24,3,89,19,1,20,4,68,24,1,25,2,80,18,7,25,4,91,20,4,24,6,93,18,3,21,2,72,23,2,25,2,92,20,0,20,3,91,19,2,21,3,71,18,7,25,7,73
EMP00002,2019,22,1,23,4,76,18,2,20,7,88,23,1,24,6,91,20,0,20,7,89,18,3,21,3,67,19,2,21,5,88,23,2,25,7,93,18,4,22,6,82,20,1,21,5,61,18,2,20,5,77,24,1,25,5,64,19,5,24,4,75
EMP00003,2019,20,4,24,7,68,20,1,21,7,73,22,1,23,4,66,23,3,26,5,78,18,2,20,7,89,23,3,26,6,67,18,2,20,3,62,24,1,25,2,67,18,3,21,4,88,20,1,21,5,94,18,4,22,6,89,20,0,20,5,86
EMP00004,2019,18,4,22,6,70,19,3,22,5,94,20,4,24,2,85,24,1,25,3,86,18,3,21,4,61,20,1,21,2,67,19,1,20,5,73,21,1,22,7,89,20,0,20,5,76,25,1,26,4,60,20,1,21,2,66,25,1,26,6,95
EMP00005,2019,21,4,25,5,85,18,2,20,2,65,18,2,20,5,80,21,2,23,7,79,23,2,25,2,83,24,2,26,4,70,23,2,25,3,89,22,3,25,3,81,18,5,23,6,64,23,0,23,5,69,20,3,23,5,84,22,1,23,5,89
EMP00006,2019,24,1,25,4,78,21,5,26,5,78,19,3,22,5,66,20,2,22,7,91,21,4,25,7,67,22,1,23,2,75,18,7,25,5,62,18,4,22,5,89,18,6,24,5,63,19,4,23,5,65,19,3,22,3,69,19,3,22,5,92
EMP00007,2019,20,2,22,4,77,22,2,24,6,66,21,1,22,4,76,19,1,20,5,79,19,5,24,6,74,18,8,26,2,78,24,2,26,6,81,21,5,26,4,89,18,3,21,3,92,20,1,21,4,89,22,0,22,6,77,24,1,25,6,77
EMP00008,2019,20,1,21,3,84,19,5,24,6,78,22,1,23,6,68,20,1,21,5,67,21,2,23,5,92,25,0,25,5,93,21,0,21,4,89,19,5,24,7,77,18,3,21,3,66,21,4,25,4,89,19,3,22,2,81,23,2,25,5,79
EMP00009,2019,18,2,20,5,78,24,2,26,3,75,21,0,21,2,93,22,2,24,3,85,18,3,21,2,63,19,2,21,6,83,20,5,25,5,75,19,3,22,4,60,19,1,20,6,61,18,4,22,5,70,22,1,23,2,61,18,2,20,5,77
EMP00010,2019,20,0,20,7,90,21,2,23,2,67,23,3,26,6,72,20,3,23,6,66,24,1,25,3,74,20,1,21,2,63,19,5,24,5,82,23,3,26,3,89,22,2,24,4,92,20,3,23,3,70,20,2,22,5,68,21,0,21,7,60
